Probe ID,Infinium Design Type,Chromosome,Location (hg19),Strand,Gene Symbol,Effect,Std. Error,Z-value,P-value,FDR,Previously Seen,Small Molecule,Proportion of Effect Attenuation (compared to current vs. never smokers),Sign
cg10841124,I,5,"433,274",R,AHRR,0.0051,0.0007,6.93,4.1E-12,1.6E-09,1,0,56.6%,++++++++-++?++++
cg25949550,II,7,"145,814,306",F,CNTNAP2,-0.0072,0.0010,-6.91,4.9E-12,1.8E-09,1,0,63.9%,-----------+----
cg03489965,II,15,"65,368,982",F,LOC390594,0.0080,0.0012,6.85,7.2E-12,2.7E-09,1,0,67.3%,+++++++++++-++-+
cg24859433,II,6,"30,720,203",R,,-0.0062,0.0009,-6.83,8.4E-12,3.0E-09,1,0,79.9%,----------------
cg26337070,I,2,"85,999,873",R,ATOH8,-0.0097,0.0014,-6.78,1.2E-11,4.4E-09,1,0,63.4%,-------------+--
cg18956562,II,7,"144,149,304",R,TPK1,0.0059,0.0009,6.74,1.6E-11,5.5E-09,0,0,54.7%,+++-++++++++++++
cg03329539,II,2,"233,283,329",F,,-0.0110,0.0016,-6.71,1.9E-11,6.5E-09,1,0,74.6%,-----------+----
cg13193840,I,2,"233,285,289",F,,-0.0071,0.0011,-6.70,2.1E-11,6.9E-09,1,0,59.4%,--+-------------
cg19859270,II,3,"98,251,294",R,GPR15,-0.0077,0.0012,-6.64,3.1E-11,1.0E-08,1,0,66.7%,----------------
cg20059928,II,15,"40,361,485",R,,-0.0100,0.0015,-6.64,3.2E-11,1.0E-08,0,0,65.8%,----------------
cg10874644,II,5,"83,898,708",F,,0.0082,0.0012,6.59,4.4E-11,1.4E-08,0,0,58.4%,++++++++++++++++
cg17619755,I,6,"31,760,629",F,VARS,0.0095,0.0014,6.56,5.3E-11,1.6E-08,1,0,59.1%,+++++-++++++++++
cg09935388,II,1,"92,947,588",F,GFI1,-0.0185,0.0028,-6.53,6.7E-11,2.1E-08,1,0,77.8%,-----------+----
cg15474579,II,6,"36,645,812",R,CDKN1A,-0.0083,0.0013,-6.51,7.7E-11,2.3E-08,1,0,59.9%,----------------
cg19713429,II,1,"19,810,690",F,CAPZB,-0.0049,0.0008,-6.48,9.3E-11,2.8E-08,1,0,74.8%,-----------+-++-
cg10619342,II,15,"65,369,005",F,LOC390594,0.0066,0.0010,6.35,2.1E-10,6.3E-08,1,0,70.7%,++++++-+++++++++
cg07069636,II,16,"30,671,749",F,,-0.0038,0.0006,-6.34,2.2E-10,6.4E-08,1,0,78.3%,-------------+--
cg04018738,I,6,"31,760,616",F,VARS,0.0071,0.0011,6.30,2.9E-10,8.3E-08,1,0,54.0%,+++-+-++++++++++
cg11739148,II,15,"31,622,112",F,KLF13,-0.0035,0.0006,-6.28,3.3E-10,9.3E-08,1,0,64.8%,-----------+----
cg02657160,II,3,"98,311,063",F,CPOX,-0.0051,0.0008,-6.26,3.9E-10,1.1E-07,1,0,67.5%,-----+----------
cg21681705,II,2,"107,506,849",R,,0.0055,0.0009,6.24,4.4E-10,1.2E-07,0,0,52.4%,+++++??+++++++-+
cg27514333,II,15,"66,996,626",R,SMAD6,-0.0041,0.0007,-6.23,4.6E-10,1.2E-07,1,0,59.3%,---+----+-------
cg09256832,II,1,"9,382,878",R,SPSB1,0.0036,0.0006,6.17,6.7E-10,1.8E-07,0,0,54.5%,++++++++++++++++
cg03274391,II,3,"22,413,232",F,,0.0246,0.0040,6.17,6.9E-10,1.8E-07,1,0,66.1%,+++++++++++-++++
cg00871610,II,21,"37,093,012",R,MIR802,-0.0086,0.0014,-6.15,7.9E-10,2.0E-07,1,1,61.0%,---+-------?----
cg26963277,I,11,"2,722,407",R,KCNQ1OT1;KCNQ1,-0.0060,0.0010,-6.14,8.3E-10,2.1E-07,1,0,74.9%,----------------
cg23161492,II,15,"90,357,202",R,ANPEP,-0.0112,0.0018,-6.12,9.5E-10,2.4E-07,1,0,72.1%,-----------+----
cg10190813,II,7,"48,018,530",R,HUS1,-0.0041,0.0007,-6.11,9.8E-10,2.4E-07,1,0,64.5%,----------------
cg18992688,II,1,"206,223,241",F,AVPR1B,-0.0031,0.0005,-6.09,1.1E-09,2.8E-07,1,0,57.7%,--+------------+
cg00073090,II,19,"1,265,879",F,,-0.0060,0.0010,-6.07,1.3E-09,3.0E-07,1,0,69.2%,--------+--+----
cg25560398,I,2,"233,252,170",R,ECEL1P2,-0.0042,0.0007,-6.05,1.4E-09,3.4E-07,1,0,66.1%,--+--------+----
cg12303084,II,20,"45,985,741",F,ZMYND8,-0.0048,0.0008,-6.05,1.5E-09,3.4E-07,1,0,71.8%,---+------------
cg03991871,II,5,"368,447",R,AHRR,-0.0083,0.0014,-6.04,1.5E-09,3.5E-07,1,0,78.1%,--------------+-
cg13452162,II,13,"96,204,518",F,CLDN10,-0.0052,0.0009,-6.04,1.6E-09,3.6E-07,0,0,32.5%,------+------+-+
cg20059012,I,12,"53,613,154",F,RARG,-0.0087,0.0014,-6.03,1.6E-09,3.7E-07,1,0,73.8%,-?--?----?-?---+
cg01899089,II,5,"369,969",F,AHRR,-0.0074,0.0012,-6.00,1.9E-09,4.3E-07,1,0,76.7%,-----------+----
cg04232972,II,16,"30,671,644",R,,-0.0042,0.0007,-6.00,1.9E-09,4.3E-07,1,0,72.6%,-------------+-+
cg11207515,II,7,"146,904,205",R,CNTNAP2,0.0137,0.0023,5.99,2.1E-09,4.6E-07,1,0,68.1%,++++++++++++++++
cg06700877,I,10,"104,169,610",R,PSD,-0.0038,0.0006,-5.98,2.2E-09,4.7E-07,0,0,57.3%,--+-------------
cg03707168,II,19,"49,379,127",F,PPP1R15A,-0.0107,0.0018,-5.97,2.3E-09,4.9E-07,1,0,62.5%,----?------?----
cg23480021,II,3,"22,412,746",F,,0.0247,0.0042,5.94,2.9E-09,6.1E-07,1,0,63.0%,+++++++++++-++++
cg09837977,II,7,"110,731,201",R,LRRN3;IMMP2L,-0.0052,0.0009,-5.90,3.6E-09,7.5E-07,1,0,63.4%,-----------+----
cg11557553,II,5,"404,996",F,AHRR;LOC100310782,0.0033,0.0006,5.89,4.0E-09,8.2E-07,1,0,65.4%,++-++++++++-++++
cg21035875,I,6,"32,116,931",R,PRRT1,0.0041,0.0007,5.87,4.3E-09,8.7E-07,1,0,30.7%,+++++++++++++-++
cg04685387,II,10,"34,925,640",R,PARD3,-0.0069,0.0012,-5.87,4.5E-09,9.0E-07,1,0,47.9%,---------+----+-
cg05329352,II,10,"112,838,983",R,ADRA2A,-0.0066,0.0011,-5.86,4.5E-09,9.0E-07,1,0,76.7%,---------+------
cg18446336,II,7,"2,847,575",F,GNA12,-0.0133,0.0023,-5.86,4.5E-09,9.0E-07,1,0,60.2%,--------------+-
cg12876356,II,1,"92,946,825",F,GFI1,-0.0097,0.0017,-5.86,4.7E-09,9.1E-07,1,0,83.0%,----------------
cg01571001,I,3,"128,215,433",R,,-0.0094,0.0016,-5.85,5.1E-09,9.8E-07,0,0,28.1%,--------++------
cg09069072,I,1,"15,482,753",R,TMEM51,-0.0081,0.0014,-5.84,5.1E-09,9.8E-07,1,0,73.7%,--+--------?---+
cg10814005,II,14,"91,711,041",F,GPR68,-0.0051,0.0009,-5.84,5.2E-09,9.8E-07,1,0,67.6%,-----------?-+--
cg08266095,II,5,"123,149,716",F,,-0.0088,0.0015,-5.84,5.3E-09,9.9E-07,0,0,62.7%,-----------?--+-
cg15410835,II,8,"143,125,637",F,,-0.0107,0.0018,-5.81,6.4E-09,1.2E-06,0,0,53.1%,-------------+--
cg05284742,II,14,"93,552,128",R,ITPK1,-0.0058,0.0010,-5.80,6.5E-09,1.2E-06,1,0,78.5%,----------------
cg01692968,II,9,"108,005,349",F,,-0.0153,0.0026,-5.80,6.7E-09,1.2E-06,1,0,53.7%,-----------+----
cg12075928,II,8,"141,801,307",F,PTK2,-0.0109,0.0019,-5.80,6.7E-09,1.2E-06,1,0,67.9%,----?------+----
cg13039251,II,5,"32,018,601",R,PDZD2,0.0122,0.0021,5.80,6.7E-09,1.2E-06,1,0,59.8%,+++++++++++-++++
cg23067299,I,5,"323,907",R,AHRR,0.0052,0.0009,5.80,6.7E-09,1.2E-06,1,0,42.5%,++++++++++++++++
cg01207684,I,16,"4,103,167",R,ADCY9,-0.0088,0.0015,-5.79,6.9E-09,1.2E-06,1,0,64.3%,--+----------+--
cg03604011,I,5,"400,201",F,AHRR,0.0084,0.0015,5.77,7.9E-09,1.4E-06,1,0,65.0%,+++++++++++-++++
cg13184736,I,1,"68,299,409",F,GNG12,-0.0146,0.0025,-5.77,8.1E-09,1.4E-06,1,0,65.5%,--+-------------
cg07626482,II,19,"47,289,503",F,SLC1A5,-0.0054,0.0009,-5.76,8.6E-09,1.4E-06,1,0,57.9%,---+------------
cg04263702,II,7,"5,528,266",F,FBXL18,-0.0067,0.0012,-5.76,8.6E-09,1.4E-06,0,0,62.1%,-----------+----
cg04180046,II,7,"45,002,736",F,MYO1G,0.0116,0.0020,5.74,9.2E-09,1.5E-06,1,0,67.1%,++++++++++++++++
cg00310412,II,15,"74,724,918",R,SEMA7A,-0.0068,0.0012,-5.74,9.6E-09,1.6E-06,1,0,70.1%,--------+--+----
cg02186444,II,17,"73,120,977",F,ARMC7,0.0042,0.0007,5.71,1.1E-08,1.9E-06,1,0,72.4%,+++-+++-++++++-+
cg07207043,II,6,"7,051,497",R,,-0.0066,0.0012,-5.68,1.4E-08,2.2E-06,0,0,49.7%,----------------
cg23079012,I,2,"8,343,710",R,,-0.0050,0.0009,-5.67,1.4E-08,2.3E-06,1,0,77.6%,----------------
cg06636831,I,3,"45,077,369",F,CLEC3B,0.0079,0.0014,5.67,1.5E-08,2.3E-06,1,0,8.9%,++++++++++-++-++
cg13795986,II,1,"155,880,507",F,RIT1,-0.0055,0.0010,-5.66,1.5E-08,2.4E-06,0,0,54.1%,--+--------+-++-
cg12806681,II,5,"368,394",R,AHRR,-0.0035,0.0006,-5.66,1.5E-08,2.4E-06,1,0,81.5%,-----------+--++
cg19589396,II,8,"103,937,374",F,,-0.0059,0.0010,-5.66,1.5E-08,2.4E-06,1,0,73.5%,-------------+--
cg05886626,II,15,"39,873,553",F,THBS1,-0.0044,0.0008,-5.66,1.6E-08,2.4E-06,1,0,69.7%,--+-----+-------
cg18676967,II,2,"233,217,476",F,,0.0046,0.0008,5.65,1.6E-08,2.5E-06,0,0,31.4%,+++-+-++++-?+--+
cg11014740,II,2,"129,079,223",F,,-0.0029,0.0005,-5.64,1.7E-08,2.6E-06,1,0,69.6%,---+-------+----
cg20469744,II,13,"43,949,447",F,ENOX1,0.0044,0.0008,5.63,1.8E-08,2.7E-06,1,0,50.2%,+++++--++++-++++
cg21570209,I,19,"46,367,987",R,FOXA3;SYMPK,-0.0112,0.0020,-5.62,1.9E-08,2.8E-06,0,0,45.6%,--+--------?----
cg14269109,II,17,"78,513,167",F,,0.0054,0.0010,5.60,2.1E-08,3.2E-06,0,0,59.1%,++-++++-+++?++++
cg07986378,II,12,"11,898,284",R,ETV6,-0.0063,0.0011,-5.59,2.2E-08,3.3E-06,1,0,78.3%,--------+----+--
cg26954197,II,5,"436,816",R,AHRR,0.0028,0.0005,5.58,2.4E-08,3.6E-06,1,0,60.0%,++-+++++-++++-++
cg10750182,II,10,"73,497,514",R,C10orf105;CDH23,-0.0026,0.0005,-5.57,2.6E-08,3.8E-06,1,0,86.1%,--+------------+
cg13185177,II,3,"194,119,885",R,GP5,0.0065,0.0012,5.56,2.7E-08,4.0E-06,1,0,72.3%,+++++++-+--+++++
cg14580211,II,5,"150,161,299",R,C5orf62,-0.0083,0.0015,-5.54,3.1E-08,4.4E-06,1,0,75.0%,--------+--+----
cg19337279,II,1,"43,804,317",F,MPL,0.0036,0.0006,5.53,3.3E-08,4.7E-06,0,0,18.0%,+++++-+++++?+-++
cg24556382,II,4,"174,173,455",R,GALNT7,-0.0060,0.0011,-5.49,3.9E-08,5.5E-06,1,0,74.5%,-----------+----
cg07063068,II,14,"91,711,033",F,GPR68,-0.0036,0.0006,-5.49,3.9E-08,5.5E-06,1,0,58.4%,-----------?----
cg12771187,II,7,"116,152,010",F,,0.0044,0.0008,5.49,4.1E-08,5.7E-06,0,0,49.3%,+++++-+++++-++-+
cg03792876,II,16,"73,243",R,,-0.0067,0.0012,-5.49,4.1E-08,5.7E-06,0,0,63.2%,---------+-?----
cg00637144,II,13,"52,360,268",R,DHRS12,0.0050,0.0009,5.48,4.3E-08,5.9E-06,0,0,35.4%,++-++++++++-++++
cg08928675,I,7,"5,528,044",R,FBXL18,-0.0064,0.0012,-5.47,4.5E-08,6.1E-06,0,0,57.9%,------+---------
cg03140521,II,1,"68,299,388",R,GNG12,-0.0051,0.0009,-5.47,4.6E-08,6.2E-06,1,0,66.5%,--+--------+---+
cg02917867,II,19,"1,265,999",F,,-0.0043,0.0008,-5.46,4.6E-08,6.2E-06,0,0,58.3%,---+----+-------
cg21913886,II,1,"15,485,346",F,TMEM51,-0.0053,0.0010,-5.46,4.7E-08,6.3E-06,1,0,64.4%,-------------+--
cg09570958,II,17,"14,206,774",R,HS3ST3B1;MGC12916,-0.0043,0.0008,-5.46,4.8E-08,6.3E-06,0,0,61.9%,--------+--+-+--
cg07178945,II,12,"4,488,800",R,FGF23,0.0076,0.0014,5.46,4.8E-08,6.3E-06,1,0,64.8%,+++++++++++++-++
cg25004427,I,5,"326,523",R,AHRR,0.0047,0.0009,5.45,5.0E-08,6.5E-06,1,0,54.3%,++-+++++++++++++
cg08606254,II,5,"323,969",R,AHRR,0.0045,0.0008,5.44,5.4E-08,7.0E-06,1,0,36.5%,+++++++++++?++++
cg20698421,I,2,"65,217,623",F,SLC1A4,-0.0088,0.0016,-5.43,5.7E-08,7.4E-06,1,0,62.6%,-------------+--
cg06418475,II,19,"17,008,851",F,CPAMD8,-0.0056,0.0010,-5.42,5.9E-08,7.5E-06,1,0,56.5%,---+-----+------
cg12873476,I,8,"142,402,728",R,,-0.0073,0.0014,-5.41,6.4E-08,8.1E-06,1,0,69.8%,-----------+----
cg14179389,I,1,"92,947,961",R,GFI1,-0.0100,0.0019,-5.39,6.9E-08,8.6E-06,1,0,57.6%,-----------+----
cg25648203,II,5,"395,444",R,AHRR,-0.0041,0.0008,-5.39,6.9E-08,8.6E-06,1,0,89.4%,---------+------
cg23931381,I,19,"18,119,847",R,ARRDC2,-0.0046,0.0009,-5.36,8.2E-08,1.0E-05,1,0,50.8%,--+-----------+-
cg06439941,II,7,"93,550,756",R,GNG11,0.0042,0.0008,5.36,8.3E-08,1.0E-05,1,0,51.2%,++--+-++++-+++++
cg18704527,II,22,"19,962,042",F,ARVCF,0.0047,0.0009,5.35,8.6E-08,1.1E-05,1,0,67.6%,++++++++++++++++
cg13787850,II,9,"102,195,951",R,,-0.0058,0.0011,-5.35,8.7E-08,1.1E-05,1,0,68.9%,----------------
cg05500734,II,7,"73,437,649",R,,-0.0046,0.0009,-5.35,8.9E-08,1.1E-05,0,0,53.3%,-----------+--+-
cg24540678,II,8,"28,258,603",F,,-0.0038,0.0007,-5.34,9.4E-08,1.1E-05,1,0,70.7%,--+------+-++---
cg03547355,II,1,"227,003,060",R,,-0.0055,0.0010,-5.34,9.5E-08,1.1E-05,1,0,68.3%,---------+------
cg20438687,II,17,"4,761,644",F,MINK1,-0.0043,0.0008,-5.34,9.5E-08,1.1E-05,0,0,65.9%,--------------+-
cg17287155,I,5,"393,347",F,AHRR,-0.0056,0.0011,-5.33,1.0E-07,1.2E-05,1,0,79.1%,----?-----+?----
cg08170227,II,14,"69,422,517",R,ACTN1,-0.0053,0.0010,-5.32,1.0E-07,1.2E-05,1,0,65.5%,--------------++
cg00378510,I,19,"2,291,020",F,LINGO3,-0.0107,0.0020,-5.32,1.0E-07,1.2E-05,1,0,65.6%,--+----------++-
cg09338136,II,5,"344,057",F,AHRR,-0.0078,0.0015,-5.32,1.1E-07,1.2E-05,1,0,52.5%,--++------------
cg12474798,I,10,"64,565,772",R,ADO,-0.0066,0.0012,-5.30,1.1E-07,1.3E-05,1,0,73.9%,-----------++---
cg22403782,II,2,"233,246,136",F,ALPP,-0.0110,0.0021,-5.29,1.2E-07,1.4E-05,1,0,52.8%,--+--------+----
cg13424029,I,10,"101,297,508",R,,-0.0045,0.0009,-5.28,1.3E-07,1.5E-05,0,0,57.4%,--------+----+--
cg23061027,II,6,"32,116,207",R,PRRT1,0.0055,0.0010,5.26,1.4E-07,1.6E-05,1,0,51.7%,+++++++++++++--+
cg20348746,II,2,"188,128,809",F,,-0.0074,0.0014,-5.26,1.5E-07,1.7E-05,0,0,45.0%,----------------
cg09658497,I,7,"2,847,517",F,GNA12,-0.0149,0.0028,-5.25,1.5E-07,1.7E-05,1,0,64.2%,--------------+-
cg07202214,II,11,"76,381,081",R,LRRC32,-0.0038,0.0007,-5.25,1.5E-07,1.7E-05,1,0,72.5%,-+--------------
cg16547579,II,20,"4,954,333",F,SLC23A2,-0.0061,0.0012,-5.25,1.5E-07,1.7E-05,1,0,56.4%,----------------
cg23688411,I,12,"120,907,854",R,SFRS9;DYNLL1,-0.0020,0.0004,-5.23,1.7E-07,1.9E-05,0,0,54.1%,--------+--?-+--
cg08940075,II,1,"95,388,680",R,CNN3,0.0031,0.0006,5.22,1.7E-07,1.9E-05,1,0,49.2%,++++++-+++-+++++
cg18961281,II,7,"3,083,773",F,CARD11,0.0017,0.0003,5.22,1.8E-07,1.9E-05,1,0,61.3%,++-+++-++++-++-+
cg19883813,II,10,"8,098,005",R,GATA3,-0.0027,0.0005,-5.22,1.8E-07,1.9E-05,1,0,38.5%,--++---------++-
cg12101586,I,15,"75,019,203",F,CYP1A1,-0.0115,0.0022,-5.22,1.8E-07,1.9E-05,1,0,48.0%,-----+---------+
cg16622061,II,16,"86,888,736",F,,-0.0068,0.0013,-5.22,1.8E-07,1.9E-05,0,0,58.8%,-----+-------+--
cg22132788,I,7,"45,002,486",R,MYO1G,0.0096,0.0018,5.22,1.8E-07,1.9E-05,1,0,79.2%,+++++++++++-++++
cg23222488,II,5,"176,755,393",F,,0.0053,0.0010,5.21,1.9E-07,2.0E-05,0,0,48.3%,++--+++++++-++++
cg04761231,II,9,"127,623,571",R,RPL35,-0.0032,0.0006,-5.20,2.0E-07,2.1E-05,1,0,68.3%,---+-----+------
cg01257799,II,11,"118,753,476",F,CXCR5,-0.0022,0.0004,-5.19,2.1E-07,2.2E-05,1,0,66.3%,--------+-------
cg27241845,II,2,"233,250,370",R,,-0.0094,0.0018,-5.17,2.3E-07,2.4E-05,1,0,75.2%,-----------+--+-
cg00931843,II,6,"155,442,993",F,TIAM2,0.0071,0.0014,5.17,2.4E-07,2.4E-05,1,0,64.3%,+++++-++++++++++
cg23401251,II,2,"27,683,905",F,IFT172,0.0039,0.0007,5.16,2.4E-07,2.5E-05,1,0,67.2%,+++++-++++++++++
cg20244340,II,20,"19,193,989",F,SLC24A3,-0.0078,0.0015,-5.15,2.6E-07,2.6E-05,1,0,70.4%,---------------+
cg11405655,II,1,"999,599",F,,-0.0042,0.0008,-5.15,2.6E-07,2.6E-05,1,0,69.8%,--------------+-
cg04551776,II,5,"393,366",F,AHRR,-0.0043,0.0008,-5.14,2.7E-07,2.7E-05,1,0,82.3%,--+-?------?----
cg19246761,II,1,"1,549,799",R,MIB2,-0.0025,0.0005,-5.13,2.9E-07,2.9E-05,0,0,54.2%,------+-+----+--
cg16936060,II,4,"57,523,055",F,HOPX,0.0046,0.0009,5.12,3.1E-07,3.1E-05,1,0,72.3%,++-+++-++++++-++
cg19211853,I,13,"79,968,216",R,RBM26,-0.0054,0.0011,-5.11,3.2E-07,3.2E-05,1,0,69.3%,-+---------?----
cg09465703,I,16,"733,842",R,JMJD8,-0.0056,0.0011,-5.11,3.2E-07,3.2E-05,1,0,76.6%,-------------+--
cg18754985,II,3,"98,237,750",R,CLDND1,-0.0031,0.0006,-5.10,3.3E-07,3.3E-05,1,0,67.6%,-----+-+---+----
cg24856658,II,5,"78,533,917",R,JMY,-0.0052,0.0010,-5.10,3.4E-07,3.3E-05,0,0,53.6%,---+----+----++-
cg05483571,II,17,"77,901,224",R,,-0.0037,0.0007,-5.10,3.4E-07,3.3E-05,0,0,51.8%,---+-+---------+
cg11314684,II,1,"244,006,288",R,AKT3,-0.0060,0.0012,-5.09,3.5E-07,3.4E-05,1,0,64.1%,--------------+-
cg18900812,II,6,"36,646,127",R,CDKN1A,-0.0078,0.0015,-5.09,3.5E-07,3.4E-05,1,0,52.8%,-----------+----
cg17024919,II,3,"21,792,248",F,ZNF385D,-0.0122,0.0024,-5.09,3.6E-07,3.4E-05,1,0,65.2%,-----------+----
cg03358636,II,3,"197,474,006",R,KIAA0226,-0.0052,0.0010,-5.08,3.7E-07,3.5E-05,1,0,76.0%,----+---+---+---
cg25809905,II,17,"42,467,728",F,ITGA2B,0.0057,0.0011,5.08,3.8E-07,3.6E-05,1,0,75.4%,++++++++++++++-+
cg16047567,II,1,"12,664,243",R,DHRS3,-0.0052,0.0010,-5.08,3.8E-07,3.6E-05,1,0,75.7%,---+?------?--+-
