Probe ID,Infinium Design Type,Chromosome,Location (hg19),Strand,Gene Symbol,Effect,Std. Error,Z-value,P-value,FDR,Previously Seen,Small Molecules,Sign
cg05575921,I,5,"373,378",F,AHRR,-0.1803,0.0171,-10.56,4.5E-26,6.1E-22,1,0,-----------+----
cg08118908,I,16,"15,787,920",F,NDE1,0.0053,0.0005,10.54,5.4E-26,7.1E-22,0,0,++++++++++++++++
cg10814005,II,14,"91,711,041",F,GPR68,-0.0159,0.0015,-10.53,6.0E-26,7.7E-22,1,0,-----------?----
cg16047567,II,1,"12,664,243",R,DHRS3,-0.0214,0.0020,-10.51,8.1E-26,1.0E-21,1,0,----?------?----
cg25421530,II,10,"97,200,987",R,SORBS1,0.0128,0.0012,10.45,1.5E-25,1.8E-21,1,0,++++++++++++++++
cg07339236,II,20,"50,312,490",R,ATP9A,-0.0232,0.0022,-10.40,2.4E-25,2.8E-21,1,0,----------------
cg14003265,II,9,"139,796,499",F,TRAF2,-0.0106,0.0010,-10.38,3.2E-25,3.7E-21,0,0,----------------
cg20059012,I,12,"53,613,154",F,RARG,-0.0332,0.0032,-10.36,3.9E-25,4.4E-21,1,0,-?--?----?-?----
cg10919522,II,14,"74,227,441",F,C14orf43,-0.0186,0.0018,-10.35,4.0E-25,4.4E-21,1,0,-----------+----
cg11660018,II,11,"86,510,915",F,PRSS23,-0.0391,0.0038,-10.35,4.1E-25,4.4E-21,1,0,----------------
cg21566642,I,2,"233,284,661",R,,-0.1257,0.0121,-10.35,4.2E-25,4.5E-21,1,0,----------------
cg25949550,II,7,"145,814,306",F,CNTNAP2,-0.0199,0.0019,-10.28,9.0E-25,9.3E-21,1,0,----------------
cg17025683,II,1,"173,836,220",R,SNORD78;ZBTB37;SNORD75;SNORD76;GAS5;SNORD77;SNORD44,-0.0118,0.0012,-10.26,1.1E-24,1.1E-20,1,1,-----------?-+--
cg09469355,II,1,"2,161,886",R,SKI,-0.0166,0.0016,-10.24,1.3E-24,1.3E-20,1,0,----------------
cg02583484,II,12,"54,677,008",F,HNRNPA1;HNRPA1L-2,-0.0260,0.0025,-10.21,1.8E-24,1.7E-20,1,0,-----------+----
cg09735822,II,12,"133,015,059",R,,0.0100,0.0010,10.17,2.6E-24,2.5E-20,0,0,++++?++++++?++-+
cg02556393,II,3,"168,866,705",F,MECOM,-0.0162,0.0016,-10.17,2.8E-24,2.6E-20,0,0,--------------+-
cg02637282,II,12,"98,768,240",F,,0.0124,0.0012,10.09,6.0E-24,5.4E-20,0,0,+++++++++++++--+
cg25097946,II,10,"97,200,985",R,SORBS1,0.0101,0.0010,10.07,7.6E-24,6.8E-20,1,0,+++++++++++-++++
cg08899667,II,6,"31,761,055",R,VARS,0.0146,0.0014,10.07,7.7E-24,6.8E-20,1,0,+++++-++++++++-+
cg13428066,II,11,"2,677,768",R,KCNQ1;KCNQ1OT1,0.0104,0.0010,10.04,1.1E-23,9.1E-20,1,0,++++++++++++++++
cg03440944,II,7,"45,023,329",R,C7orf40,-0.0150,0.0015,-9.98,1.9E-23,1.6E-19,1,0,-----------?----
cg24741609,II,1,"54,122,060",R,GLIS1,-0.0147,0.0015,-9.95,2.6E-23,2.2E-19,1,0,-----------?----
cg01218206,II,11,"116,933,977",R,SIK3,-0.0150,0.0015,-9.93,3.1E-23,2.5E-19,0,0,----------------
cg16151960,II,5,"133,890,280",F,PHF15,-0.0125,0.0013,-9.90,4.1E-23,3.3E-19,1,0,----------------
cg00930606,II,22,"31,740,944",R,PATZ1,-0.0105,0.0011,-9.85,6.5E-23,5.2E-19,1,0,----------------
cg04761231,II,9,"127,623,571",R,RPL35,-0.0100,0.0010,-9.85,7.0E-23,5.5E-19,1,0,---+------------
cg01971407,II,11,"313,624",R,IFITM1,-0.0152,0.0015,-9.84,7.8E-23,6.0E-19,1,0,-------------+--
cg04987734,II,14,"103,415,873",R,CDC42BPB,0.0149,0.0015,9.82,9.0E-23,6.8E-19,0,0,+++-+++++++++-++
cg12803068,II,7,"45,002,919",F,MYO1G,0.0632,0.0064,9.82,9.1E-23,6.8E-19,1,0,++++++++++++++++
cg16295156,II,1,"9,466,328",R,,-0.0094,0.0010,-9.80,1.1E-22,8.1E-19,0,0,----?------?----
cg09570614,II,2,"112,124,380",R,,0.0127,0.0013,9.80,1.2E-22,8.4E-19,1,0,+++++++++++?++-+
cg05329352,II,10,"112,838,983",R,ADRA2A,-0.0286,0.0029,-9.73,2.2E-22,1.6E-18,1,0,----------------
cg27118035,II,16,"31,891,978",F,ZNF267,0.0136,0.0014,9.72,2.4E-22,1.7E-18,0,0,+++++-++++++++++
cg03140521,II,1,"68,299,388",R,GNG12,-0.0151,0.0016,-9.71,2.8E-22,1.9E-18,1,0,-----------+----
cg17214023,II,2,"10,176,748",R,,-0.0103,0.0011,-9.70,3.0E-22,2.0E-18,0,0,-------------+--
cg00300637,II,5,"319,433",R,AHRR,0.0128,0.0013,9.68,3.8E-22,2.6E-18,1,0,++++++++++++++++
cg07042170,II,8,"8,831,422",F,,0.0175,0.0018,9.66,4.5E-22,2.9E-18,0,0,+++++++++++?+-++
cg25809905,II,17,"42,467,728",F,ITGA2B,0.0233,0.0024,9.66,4.5E-22,2.9E-18,1,0,++++++++++++++++
cg16794579,II,16,"17,562,419",F,XYLT1,-0.0147,0.0015,-9.65,5.1E-22,3.3E-18,1,0,----------------
cg27332104,II,15,"52,386,161",R,,0.0124,0.0013,9.65,5.1E-22,3.3E-18,1,0,+++++++++++-++-+
cg25189904,II,1,"68,299,493",F,GNG12,-0.0768,0.0080,-9.64,5.2E-22,3.3E-18,1,0,----------------
cg01937809,II,1,"37,941,854",R,ZC3H12A,-0.0160,0.0017,-9.64,5.4E-22,3.4E-18,1,0,-------------+--
cg19070894,I,5,"134,823,888",F,,0.0115,0.0012,9.62,6.4E-22,3.9E-18,0,0,+++++++++++++-++
cg17619208,I,5,"175,623,192",R,,-0.0079,0.0008,-9.62,6.8E-22,4.1E-18,0,0,---+-------?----
cg11927233,II,5,"170,816,542",F,NPM1,-0.0170,0.0018,-9.59,8.4E-22,5.1E-18,1,0,-----??---------
cg26703534,II,5,"377,358",F,AHRR,-0.0409,0.0043,-9.56,1.2E-21,7.2E-18,1,0,-----------+----
cg20902353,II,14,"94,425,114",R,ASB2,-0.0105,0.0011,-9.55,1.4E-21,7.9E-18,1,0,-----------+----
cg25560398,I,2,"233,252,170",R,ECEL1P2,-0.0123,0.0013,-9.53,1.5E-21,8.7E-18,1,0,-----------+----
cg08709672,I,1,"206,224,334",R,AVPR1B,-0.0227,0.0024,-9.53,1.5E-21,8.8E-18,1,0,----------------
cg27627381,I,17,"75,452,100",F,SEPT9,-0.0063,0.0007,-9.51,2.0E-21,1.1E-17,1,0,--+-------------
cg18450254,II,3,"64,200,005",F,PRICKLE2,0.0120,0.0013,9.49,2.3E-21,1.3E-17,0,0,+++++++++++++-++
cg17619755,I,6,"31,760,629",F,VARS,0.0232,0.0025,9.46,3.2E-21,1.8E-17,1,0,++++++++++++++-+
cg06753787,II,2,"220,074,208",F,ZFAND2B,0.0063,0.0007,9.45,3.2E-21,1.8E-17,0,0,+++++++++++-++++
cg14183922,II,17,"75,371,532",F,SEPT9,-0.0094,0.0010,-9.41,5.0E-21,2.7E-17,1,0,---------+------
cg07029024,II,11,"65,249,342",F,,0.0129,0.0014,9.40,5.5E-21,2.9E-17,1,0,++++++++++++++++
cg18158306,II,12,"133,135,032",R,FBRSL1,0.0102,0.0011,9.39,6.2E-21,3.2E-17,0,0,++++++++++++++-+
cg21990700,II,12,"7,260,776",R,LOC283314;C1RL,-0.0151,0.0016,-9.37,7.5E-21,3.9E-17,1,0,-----------+----
cg26257411,II,6,"33,397,122",F,SYNGAP1,-0.0065,0.0007,-9.35,8.4E-21,4.3E-17,1,0,----------------
cg19093370,I,17,"17,110,180",F,PLD6,0.0198,0.0021,9.35,8.7E-21,4.4E-17,0,0,+++++++++++++-++
cg03636183,II,19,"17,000,585",R,F2RL3,-0.0953,0.0102,-9.32,1.1E-20,5.7E-17,1,0,----------------
cg19859270,II,3,"98,251,294",R,GPR15,-0.0230,0.0025,-9.31,1.3E-20,6.3E-17,1,0,----------------
cg14550518,II,3,"21,792,938",R,ZNF385D,-0.0079,0.0008,-9.31,1.3E-20,6.6E-17,1,0,-----------+----
cg01439566,II,11,"113,932,189",F,ZBTB16,0.0071,0.0008,9.28,1.7E-20,8.1E-17,1,0,+++++++++++-++++
cg06126421,II,6,"30,720,080",R,,-0.0973,0.0105,-9.28,1.7E-20,8.3E-17,1,0,----------------
cg06951627,II,6,"26,196,580",R,,-0.0155,0.0017,-9.28,1.7E-20,8.3E-17,0,0,-----------?----
cg22052143,II,5,"78,067,856",F,,0.0107,0.0012,9.27,1.9E-20,8.9E-17,0,0,++++++++++++++++
cg09182189,II,1,"1,709,203",R,NADK,-0.0104,0.0011,-9.26,2.0E-20,9.2E-17,0,0,---+-+-----+----
cg18369990,II,2,"112,941,244",F,FBLN7,0.0116,0.0013,9.25,2.3E-20,1.1E-16,0,0,+++++-+-++++++-+
cg25593631,I,1,"9,687,880",F,,-0.0150,0.0016,-9.24,2.4E-20,1.1E-16,0,0,----------------
cg03980408,II,20,"1,371,904",F,FKBP1A,-0.0094,0.0010,-9.23,2.7E-20,1.2E-16,1,0,-------------+--
cg08048687,II,2,"111,996,799",R,,-0.0054,0.0006,-9.22,2.9E-20,1.3E-16,0,0,-------+---?----
cg24578857,I,17,"17,110,207",F,PLD6,0.0200,0.0022,9.21,3.1E-20,1.4E-16,0,0,+++++++++++?+--+
cg26477856,II,12,"56,324,915",F,DGKA,-0.0096,0.0010,-9.21,3.2E-20,1.4E-16,1,0,---------+---+--
cg16776035,II,17,"74,542,680",F,,0.0086,0.0009,9.20,3.6E-20,1.6E-16,0,0,+++++++++++-+-++
cg24399529,II,15,"69,373,153",R,MIR548H4;TMEM84,0.0130,0.0014,9.20,3.6E-20,1.6E-16,1,1,+++++++++++-++-+
cg19572487,II,17,"38,476,024",R,RARA,-0.0544,0.0059,-9.19,3.8E-20,1.6E-16,1,0,----------------
cg15228441,II,17,"78,829,930",F,RPTOR,-0.0138,0.0015,-9.19,3.8E-20,1.6E-16,1,0,-----+----------
cg26361535,II,8,"144,576,604",F,ZC3H3,-0.0382,0.0042,-9.18,4.2E-20,1.8E-16,1,0,----------------
cg11390978,I,19,"16,986,831",R,SIN3B,-0.0092,0.0010,-9.18,4.5E-20,1.9E-16,1,0,-----+-----+----
cg05593667,II,6,"35,490,744",F,,-0.0120,0.0013,-9.15,5.5E-20,2.3E-16,0,0,---------+---+--
cg23916896,II,5,"368,804",R,AHRR,-0.0588,0.0064,-9.14,6.3E-20,2.6E-16,1,0,----------------
cg20408402,II,10,"72,362,452",R,PRF1,0.0085,0.0009,9.12,7.6E-20,3.1E-16,0,0,++-++++++++++--+
cg14817490,II,5,"392,920",F,AHRR,-0.0490,0.0054,-9.07,1.2E-19,4.8E-16,1,0,-----------+----
cg27537125,II,1,"25,349,681",F,,-0.0190,0.0021,-9.06,1.4E-19,5.5E-16,1,0,-----------+----
cg13910681,II,9,"130,740,599",R,FAM102A,-0.0082,0.0009,-9.03,1.7E-19,6.9E-16,1,0,----------------
cg04673446,II,22,"39,879,951",F,MGAT3,0.0060,0.0007,9.01,2.0E-19,8.0E-16,0,0,+++++-++++++++-+
cg05284742,II,14,"93,552,128",R,ITPK1,-0.0271,0.0030,-9.01,2.1E-19,8.3E-16,1,0,----------------
cg06803614,II,1,"40,133,581",F,NT5C1A,-0.0088,0.0010,-9.01,2.1E-19,8.3E-16,0,0,----------------
cg22441770,II,1,"153,929,592",R,CRTC2,-0.0159,0.0018,-9.01,2.1E-19,8.3E-16,1,0,----------------
cg25625514,II,11,"76,535,564",F,,-0.0124,0.0014,-9.00,2.2E-19,8.5E-16,0,0,---+------------
cg03329539,II,2,"233,283,329",F,,-0.0434,0.0048,-8.99,2.5E-19,9.7E-16,1,0,-----------+----
cg23351584,II,11,"86,512,100",F,PRSS23,-0.0106,0.0012,-8.98,2.6E-19,1.0E-15,1,0,----------------
cg16274678,II,1,"154,127,952",R,TPM3;NUP210L,-0.0152,0.0017,-8.97,2.9E-19,1.1E-15,0,0,----------------
cg21439672,II,12,"7,260,546",R,C1RL;LOC283314,-0.0153,0.0017,-8.96,3.3E-19,1.2E-15,1,0,---+---+--------
cg07286341,II,5,"176,923,805",R,PDLIM7,-0.0077,0.0009,-8.95,3.4E-19,1.3E-15,0,0,----------------
cg20059928,II,15,"40,361,485",R,,-0.0293,0.0033,-8.95,3.5E-19,1.3E-15,0,0,-----------+----
cg20674424,II,3,"186,503,527",F,MIR1248;EIF4A2;SNORA81,-0.0091,0.0010,-8.93,4.2E-19,1.5E-15,0,1,----------------
cg22571654,II,3,"150,805,388",F,MED12L,0.0097,0.0011,8.92,4.7E-19,1.7E-15,1,0,++++++++++++++++
cg02279625,II,15,"78,384,520",R,SH2D7,0.0105,0.0012,8.92,4.8E-19,1.7E-15,0,0,++++++++++++++++
cg03485667,II,16,"75,143,200",F,ZNRF1,-0.0168,0.0019,-8.91,5.0E-19,1.8E-15,0,0,----?------?----
cg22851561,II,14,"74,214,183",F,C14orf43,-0.0244,0.0027,-8.90,5.6E-19,2.0E-15,1,0,----------------
cg14656441,II,1,"39,500,070",R,NDUFS5,0.0162,0.0018,8.90,5.7E-19,2.0E-15,1,0,+++++-++++++++++
cg10750182,II,10,"73,497,514",R,C10orf105;CDH23,-0.0188,0.0021,-8.89,6.2E-19,2.2E-15,1,0,----------------
cg07712198,II,5,"9,015,582",R,,0.0108,0.0012,8.88,6.5E-19,2.2E-15,0,0,+++++++++-++++++
cg23198793,I,15,"42,694,406",R,CAPN3,0.0170,0.0019,8.88,6.6E-19,2.3E-15,1,0,+++++++++-++++++
cg03051880,II,6,"119,662,024",F,MAN1A1,0.0107,0.0012,8.88,6.8E-19,2.3E-15,1,0,+++++++++++++--+
cg02660097,II,11,"68,866,761",R,,0.0247,0.0028,8.87,7.0E-19,2.4E-15,0,0,++++?++++++?++++
cg03531211,II,6,"32,920,102",R,HLA-DMA,-0.0108,0.0012,-8.87,7.5E-19,2.5E-15,0,0,-----+----------
cg21733098,II,12,"127,931,219",F,,-0.0341,0.0039,-8.86,7.9E-19,2.7E-15,0,0,----------------
cg22132788,I,7,"45,002,486",R,MYO1G,0.0463,0.0052,8.86,8.1E-19,2.7E-15,1,0,+++++++++++-++++
cg10955164,II,22,"39,919,237",F,,-0.0079,0.0009,-8.85,8.6E-19,2.8E-15,0,0,---------+------
cg11554391,II,5,"321,320",F,AHRR,-0.0234,0.0026,-8.84,9.8E-19,3.2E-15,1,0,-----------+----
cg09940677,II,14,"103,415,458",R,CDC42BPB,0.0081,0.0009,8.83,1.0E-18,3.2E-15,0,0,+++++++++++++-++
cg24049050,II,1,"94,702,435",F,ARHGAP29,-0.0102,0.0012,-8.83,1.0E-18,3.2E-15,1,0,----------------
cg14624207,II,11,"68,142,198",F,LRP5,-0.0212,0.0024,-8.83,1.0E-18,3.2E-15,1,0,----------------
cg22040631,I,2,"129,153,820",R,,-0.0136,0.0015,-8.82,1.2E-18,3.7E-15,0,0,----?------?----
cg08763102,II,4,"3,079,751",F,HTT,-0.0124,0.0014,-8.82,1.2E-18,3.8E-15,1,0,-----------+----
cg21611682,II,11,"68,138,269",F,LRP5,-0.0264,0.0030,-8.80,1.3E-18,4.2E-15,1,0,----------------
cg12303084,II,20,"45,985,741",F,ZMYND8,-0.0171,0.0019,-8.80,1.4E-18,4.2E-15,1,0,---+------------
cg23161492,II,15,"90,357,202",R,ANPEP,-0.0403,0.0046,-8.79,1.4E-18,4.5E-15,1,0,-----------+----
cg22851200,II,7,"100,465,833",R,TRIP6,-0.0180,0.0021,-8.79,1.5E-18,4.5E-15,1,0,----------------
cg04638655,II,14,"101,529,855",F,MIR541,0.0075,0.0009,8.79,1.5E-18,4.6E-15,0,1,+?++++++++++++++
cg11207515,II,7,"146,904,205",R,CNTNAP2,0.0431,0.0049,8.79,1.5E-18,4.7E-15,1,0,++++++++++++++++
cg03280235,II,6,"32,158,953",R,PBX2;GPSM3,-0.0087,0.0010,-8.78,1.6E-18,4.9E-15,1,0,----------------
cg02462416,II,11,"2,036,573",R,,-0.0200,0.0023,-8.77,1.7E-18,5.1E-15,0,0,-?--------------
cg03536711,II,1,"221,509,067",F,LOC400804,0.0175,0.0020,8.77,1.7E-18,5.1E-15,0,0,++++++++++++++-+
cg20810975,II,17,"42,467,199",R,ITGA2B,0.0075,0.0009,8.77,1.7E-18,5.1E-15,1,0,+++++++++++-++++
cg00138101,II,17,"1,961,109",F,HIC1,0.0064,0.0007,8.77,1.8E-18,5.3E-15,1,0,+++-++++++++++++
cg02654940,II,6,"34,206,400",F,HMGA1,-0.0095,0.0011,-8.76,1.9E-18,5.7E-15,1,0,---------+------
cg05389935,II,1,"26,610,757",R,UBXN11,-0.0074,0.0008,-8.76,2.0E-18,5.9E-15,0,0,----------------
cg00499237,II,2,"97,169,033",R,NEURL3,-0.0083,0.0010,-8.74,2.3E-18,6.6E-15,0,0,-----+-------+--
cg14012925,I,7,"101,556,907",R,CUX1,0.0153,0.0018,8.74,2.4E-18,6.9E-15,1,0,+++++++++-++++++
cg14142087,II,9,"110,479,859",F,,0.0151,0.0017,8.73,2.4E-18,7.0E-15,0,0,+++++-+++++?++--
cg14899065,II,15,"81,587,108",F,IL16,-0.0131,0.0015,-8.73,2.5E-18,7.0E-15,0,0,----?-+----++---
cg00871610,II,21,"37,093,012",R,MIR802,-0.0221,0.0025,-8.73,2.6E-18,7.3E-15,1,1,-----------?----
cg12806681,II,5,"368,394",R,AHRR,-0.0187,0.0021,-8.73,2.6E-18,7.3E-15,1,0,----------------
cg08035323,II,2,"9,843,525",R,,0.0313,0.0036,8.71,2.9E-18,8.2E-15,1,0,++++++++++++++++
cg08305533,II,22,"32,007,224",R,SFI1,0.0148,0.0017,8.71,3.1E-18,8.7E-15,1,0,+++++++++++-++++
cg13985198,I,1,"45,242,073",F,SNORD46;RPS8;SNORD38A,-0.0094,0.0011,-8.70,3.3E-18,9.0E-15,1,1,----------------
cg21322436,I,7,"145,812,842",R,CNTNAP2,-0.0315,0.0036,-8.69,3.5E-18,9.7E-15,1,0,-----------+----
cg00579402,II,19,"5,838,999",F,FUT6,0.0127,0.0015,8.69,3.6E-18,9.9E-15,0,0,+++++++-+++-+--+
cg04299274,II,17,"25,798,741",F,KSR1,-0.0085,0.0010,-8.68,3.9E-18,1.0E-14,1,0,---------+-+----
cg20897136,II,10,"74,034,667",R,DDIT4,-0.0101,0.0012,-8.68,3.9E-18,1.0E-14,1,0,---------+-+----
cg24715735,II,19,"35,531,403",F,HPN,0.0065,0.0007,8.68,4.0E-18,1.1E-14,1,0,+++++++++++++-++
cg10717312,I,2,"241,976,244",F,SNED1,0.0178,0.0021,8.66,4.7E-18,1.3E-14,1,0,++++++++++++++-+
cg18216249,II,12,"48,100,805",F,RPAP3,-0.0076,0.0009,-8.65,5.3E-18,1.4E-14,0,0,---+------------
cg10691866,II,7,"65,817,282",F,TPST1,-0.0305,0.0035,-8.65,5.4E-18,1.4E-14,1,0,----------------
cg04543273,II,5,"176,758,413",R,,0.0065,0.0008,8.64,5.4E-18,1.4E-14,0,0,++++++++++++++++
cg26954197,II,5,"436,816",R,AHRR,0.0071,0.0008,8.64,5.6E-18,1.5E-14,1,0,+++++++++++-++++
cg24323726,II,3,"111,314,186",R,ZBED2;CD96,-0.0090,0.0010,-8.64,5.7E-18,1.5E-14,1,0,---------+------
cg06901890,II,9,"132,803,508",R,FNBP1,-0.0102,0.0012,-8.63,6.3E-18,1.6E-14,1,0,---------+------
cg23771366,II,11,"86,510,998",R,PRSS23,-0.0362,0.0042,-8.61,7.5E-18,1.9E-14,1,1,----------------
cg00639656,II,17,"27,050,360",F,SNORD42A;RPL23A;SNORD4B,-0.0084,0.0010,-8.61,7.6E-18,1.9E-14,1,0,----------------
cg18476604,II,22,"30,721,543",R,TBC1D10A,-0.0080,0.0009,-8.60,7.8E-18,2.0E-14,1,0,---------+---+--
cg26126879,II,8,"103,916,295",R,,0.0103,0.0012,8.60,8.0E-18,2.0E-14,0,0,++++++++++++++++
cg21138542,II,6,"170,581,502",F,,0.0136,0.0016,8.60,8.2E-18,2.1E-14,0,0,+++++++-+++-++-+
cg14753356,II,6,"30,720,108",R,,-0.0378,0.0044,-8.58,9.2E-18,2.3E-14,1,0,----------------
cg17924476,II,5,"323,794",R,AHRR,0.0335,0.0039,8.58,9.3E-18,2.3E-14,1,0,++++++++++++++++
cg18451588,II,7,"29,606,289",F,PRR15,-0.0186,0.0022,-8.58,9.3E-18,2.3E-14,1,0,-----------?----
cg27514333,II,15,"66,996,626",R,SMAD6,-0.0100,0.0012,-8.57,1.0E-17,2.5E-14,1,0,-----------+----
cg04517079,II,6,"41,546,161",R,FOXP4,-0.0165,0.0019,-8.57,1.1E-17,2.6E-14,1,0,-----------+-+--
cg02736016,II,12,"1,017,144",R,WNK1,0.0106,0.0012,8.56,1.1E-17,2.8E-14,0,0,++++++++++++++++
cg07941108,II,14,"90,741,814",R,,-0.0132,0.0015,-8.56,1.2E-17,2.9E-14,0,0,-------------+--
cg07057831,II,12,"131,323,042",R,STX2,-0.0107,0.0013,-8.55,1.2E-17,3.0E-14,0,0,-----------?----
cg04180046,II,7,"45,002,736",F,MYO1G,0.0351,0.0041,8.54,1.3E-17,3.1E-14,1,0,+++++++++++-++++
cg07090714,I,6,"6,857,062",F,,-0.0185,0.0022,-8.53,1.4E-17,3.4E-14,1,0,----------------
cg14614490,II,9,"123,637,816",R,PHF19,-0.0066,0.0008,-8.52,1.6E-17,3.8E-14,1,0,----------------
cg15342087,II,6,"30,720,209",R,,-0.0306,0.0036,-8.52,1.6E-17,3.9E-14,1,0,-----------+----
cg20772590,II,17,"75,446,431",F,SEPT9,-0.0082,0.0010,-8.52,1.6E-17,3.9E-14,1,0,---------+------
cg19935065,II,10,"98,062,687",F,DNTT,0.0128,0.0015,8.51,1.7E-17,4.0E-14,0,0,+++++++++++++-++
cg26283141,II,6,"33,240,471",F,VPS52;RPS18,-0.0150,0.0018,-8.51,1.7E-17,4.0E-14,1,0,-----------?----
cg13193840,I,2,"233,285,289",F,,-0.0174,0.0020,-8.50,1.8E-17,4.3E-14,1,0,-----------+----
cg15029032,II,15,"86,294,644",R,,0.0138,0.0016,8.50,1.9E-17,4.4E-14,0,0,++++++++++++++++
cg23973524,II,19,"18,873,222",R,CRTC1,0.0248,0.0029,8.50,1.9E-17,4.5E-14,1,0,+++++++++++-++++
cg03059073,II,7,"150,130,708",F,,0.0135,0.0016,8.49,2.1E-17,4.7E-14,0,0,++-++++++++?+-++
cg11961495,I,10,"80,873,797",F,ZMIZ1,-0.0149,0.0018,-8.49,2.1E-17,4.9E-14,1,0,-----------?-+--
cg01022370,II,8,"8,749,074",F,MFHAS1,-0.0067,0.0008,-8.48,2.3E-17,5.2E-14,1,0,----------------
cg05906166,II,19,"16,437,057",R,KLF2,-0.0267,0.0031,-8.47,2.5E-17,5.6E-14,0,0,----?------?----
